|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
151|Apartamento para venda com 85 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 650.000|3 quartos|85m²|R$ 600|2 vagas|Natal, Capim Macio | |2
152| | | | | | | | | 
153|Apartamento para venda Sun Garden, 57m², com 2 quartos em Cidade Satélite - Natal - RN|R$ 220.000|2 quartos|57m²|R$ 350|1 vaga|Natal, Pitimbu | |1
154|Apartamento para venda Vila Park, 55m², com 2 quartos em Ponta Negra - Natal - RN|R$ 275.000|2 quartos|55m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
155|Apartamento para venda tem 156 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 1.090.000|3 quartos|156m²|R$ 880|3 vagas|Natal, Capim Macio | |3
156|Apartamento para venda possui 98 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 670.000|3 quartos|98m²|R$ 550|2 vagas|Natal, Tirol | |2
157|Apartamento para venda possui 265 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 899.999|4 quartos|265m²|R$ 1.600|3 vagas|Natal, Tirol | |3
158|Apartamento para venda possui 100 metros quadrados com 3 quartos em Barro Vermelho - Natal|R$ 255.000|3 quartos|100m²|R$ 917|1 vaga|Natal, Barro Vermelho | |1
159| | | | | | | | | 
160|Apartamento para venda Marie Galante, 92m², com 3 quartos em Candelária - Natal - RN|R$ 550.000|3 quartos|92m²|R$ 600|3 vagas|Natal, Candelária | |3
161|Apartamento para venda Sun Gardens, 55m², com 2 quartos em Cidade Satélite - Natal - RN|R$ 230.000|2 quartos|55m²|R$ 350|2 vagas|Natal, Pitimbu | |2
162|Apartamento para venda Lual de Ponta Negra, 131m², com 4 quartos em Ponta Negra - Natal - |R$ 675.000|4 quartos|131m²|R$ 600|1 vaga|Natal, Ponta Negra | |1
163|Apartamento para venda Ecogarden, 59m², com 2 quartos em Ponta Negra - Natal - RN|R$ 300.000|2 quartos|59m²|R$ 280|1 vaga|Natal, Ponta Negra | |1
164|Apartamento para venda tem 61 metros quadrados com 2 quartos em Capim Macio - Natal - RN|R$ 375.000|2 quartos|61m²|R$ 0|1 vaga|Natal, Capim Macio | |1
165|Apartamento para venda tem 49 metros quadrados com 2 quartos em Rocas - Natal - RN|R$ 125.000|2 quartos|49m²|R$ 0|1 vaga|Natal, Rocas | |1
166|Apartamento para venda com 55 metros quadrados com 2 quartos em Tirol - Natal - RN|R$ 295.633|2 quartos|55m²|R$ 515|1 vaga|Natal, Tirol | |1
167|Apartamento para venda com 95 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 220.000|3 quartos|95m²|R$ 0|1 vaga|Natal, Candelária | |1
